Line_name,Component,Flux,Flux_error
H-Alpha,Narrow 1,43.32345593150986,0.26509822862710003
H-Alpha,Narrow 2,6.481094170440452,0.1697123914949187
H-Alpha,Broad,8.361107456005243,0.278526294850659
OIII-5007A,Narrow 1,9.382009025700839,0.6263368867014142
OIII-5007A,Narrow 2,1.2497272415708727,0.3317836950199914
OIII-5007A,Broad,8.347458895832611,0.5728957625961251
OIII-4959A,Narrow 1,3.0283998835133827,0.11817215044307396
OIII-4959A,Narrow 2,0.5114846324986263,0.053888089927303
OIII-4959A,Broad,2.3726053340450135,0.12198332346437839
H-Beta,Narrow 1,8.678256172231396,0.10963929914240315
H-Beta,Narrow 2,1.7315134110775978,0.049935186836162576
H-Beta,Broad,3.083476056963507,0.10743188309134025
OI-6300A,Narrow 1,0.5552048084464072,0.03212684734164383
OI-6300A,Narrow 2,0.11707003060841387,0.010669550513056538
OI-6300A,Broad,0.4046070578461477,0.03927556820696708
NII-6584A,Narrow 1,7.121558522560337,0.2757496592346628
NII-6584A,Narrow 2,1.6712022928214592,0.08951036217971207
NII-6584A,Broad,1.6392174636883154,0.2884789744639903
NII-6548A,Narrow 1,2.465200417925479,0.03333490969770113
NII-6548A,Narrow 2,0.5354052407784042,0.01331049191603887
NII-6548A,Broad,0.3219445074258114,0.034231343806173695
SII-6717A,Narrow 1,5.683296669812659,0.16155889720066524
SII-6717A,Narrow 2,1.1567564513914113,0.09717949041810996
SII-6717A,Broad,0.8117655482490741,0.19108723828382557
SII-6731A,Narrow 1,3.9355217417019035,0.049065408665541335
SII-6731A,Narrow 2,0.919053187220492,0.022481882390297615
SII-6731A,Broad,0.6075576379631036,0.050818757878412196
